version_id,gtin,pid,version,productName_en,productName_fr,currentStatus,memberCode,modifiedDateTime,rejectedStatus,brandName_en,brandName_fr,brandURL_en,ca_brandOwnerVersionCode_en,classificationCategoryCode_en,retailerCategoryCode,countryOfOrigin_en,gpcCode_en,nameOfBrandOwner_en,initialContentReceivedDate_en,manufacturer_en,packageSize_en,productURL_en,productImageThumbnailURL_en,productImageURL_en,last_modified_date,discontinuedDate,archiveDate,loadingOption,imageLocation,productURL_fr,last_modified_by,isDiscontinued,IsClaimSaved,isBovEmptyOnLoading,isDeleted,lastExportDate,certificationService,locationId,productType,gtinType,barCodeSymbology,size,sizeUOM,totalUnits_RetailPack,versionReason,delegateToTpId,LastETLValidatedDate,brandDistributionType
79,00055270842324,79,635292006393905955,GRACE ISLAND SODA BANANA DRINK,GRACE ISLAND SODA BOISSON BANANE,verified,,2013-02-22T20:10:25Z,0,GRACE ISLAND SODA,GRACE ISLAND SODA,,,,103001,,10000201,Grace Kennedy Co. Ltd,2011-06-20,,355 ml,,,,635292006393905955,NULL,NULL,7540000000707,00055270842324\79,,NULL,0,0,1,0,636592287263988562,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,00055270842348,80,635292006394285976,GRACE ISLAND SODA CREAM SODA,GRACE ISLAND SODA SODA MOUSSE,verified,,2013-02-22T20:03:24Z,0,GRACE ISLAND SODA,GRACE ISLAND SODA,,,,103001,,10000201,Grace Kennedy Co. Ltd,2011-06-20,,355 ml,,,,635292006394285976,NULL,NULL,7540000000707,00055270842348\80,,NULL,0,0,1,0,636592287264108569,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,00055270842355,81,635292006394675999,GRACE ISLAND SODA GINGER BEER,GRACE ISLAND SODA GINGEMBRE,verified,,2013-02-22T20:06:10Z,0,GRACE ISLAND SODA,GRACE ISLAND SODA,,,,103001,,10000201,Grace Kennedy Co. Ltd,2011-06-20,,355 ml,,,,635292006394675999,NULL,NULL,7540000000707,00055270842355\81,,NULL,0,0,1,0,636592287264228576,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,00055270843024,82,635292006395096023,GRACE DRINK PINEAPPLE,GRACE BOISSON ANANAS,verified,,2013-04-04T15:35:31Z,0,GRACE,GRACE,,,,103001,,10000223,GRACE KENNEDY CO. LTD,2010-03-30,,2 L,,,,635292006395096023,NULL,NULL,7540000000707,00055270843024\82,,NULL,0,0,1,0,636592287264338582,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,00055270853252,83,635292006395466044,GRACE MACKEREL TOMATO SAUCE HOT CHILI,GRACE MAQUEREAU SAUCE TOMATE CHILI,verified,,2013-04-04T16:43:57Z,0,GRACE,GRACE,,,,100803,,10000018,GRACE KENNEDY CO. LTD,2009-10-21,,155 g,,,,635292006395466044,NULL,NULL,7540000000707,00055270853252\83,,NULL,0,0,1,0,636592287322651918,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,00055270853283,84,635292006395886068,GRACE SARDINES TOMATO SAUCE,GRACE SARDINES SAUCE TOMATE,verified,,2013-04-04T20:39:19Z,0,GRACE,GRACE,,,,100803,,10000018,GRACE KENNEDY CO. LTD,2009-10-21,,155 g,,,,635292006395886068,NULL,NULL,7540000000707,00055270853283\84,,NULL,0,0,1,0,636592287322761924,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,00055270853313,85,635292006396296091,GRACE SARDINES IN TOMATO SAUCE HOT CHILI,GRACE SARDINES EN SAUCE TOMATE AVEC CHILI,verified,,2013-04-04T20:38:14Z,0,GRACE,GRACE,,,,100803,,10000018,GRACE KENNEDY CO. LTD,2010-03-30,,155 g,,,,635292006396296091,NULL,NULL,7540000000707,00055270853313\85,,NULL,0,0,1,0,636592287322871930,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,00055270761519,86,635292006396696114,GRACE DRINK CARROT,GRACE BREUVAGE DE CAROTTES,verified,,2013-02-25T13:05:35Z,0,GRACE,GRACE,,,,103001,,10006252,Grace Kennedy Co. Ltd,2012-01-18,,540 ML,,,,635292006396696114,NULL,NULL,7540000000707,00055270761519\86,,NULL,0,0,1,0,636592287259778322,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,00055270762028,87,635292006397146140,GRACE ACKEES SALT WATER,GRACE AKEES EAU SALEE,verified,,2013-04-04T15:31:17Z,0,GRACE,GRACE,,,,104701,,10000272,GRACE KENNEDY CO. LTD,2009-10-21,,540 ml,,,,635292006397146140,NULL,NULL,7540000000707,00055270762028\87,,NULL,0,0,1,0,636592287259908329,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,00055270763018,88,635292006397786177,GRACE JELLY GUAVA,GRACE GELEE GOYAVE,verified,,2013-04-04T16:40:19Z,0,GRACE,GRACE,,,,104101,,10000217,GRACE KENNEDY CO. LTD,2010-03-30,,340 g,,,,635292006397786177,NULL,NULL,7540000000707,00055270763018\88,,NULL,0,0,1,0,636592287260058338,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
