pid,gtin,gln,targetMarketCountryCode,isDeleted,last_modified_date
2985,00013562302031,0013562000012,CA,0         ,2014-02-28 16:20:35.1130000
2986,00013562303519,0013562000012,CA,0         ,2014-02-28 16:20:35.1630000
2987,00013562303526,0013562000012,CA,0         ,2014-02-28 16:20:35.2230000
31122,00013600000677,0774058000014,CA,0         ,2014-02-28 18:10:24.8830000
2334,00013628609227,0627202000012,CA,0         ,2014-02-28 16:18:05.5030000
16649,00013800387608,0059800000017,CA,0         ,2014-02-28 17:11:31.3600000
16618,00013800490018,0059800000017,CA,0         ,2014-02-28 17:11:29.1870000
16619,00013800492234,0059800000017,CA,0         ,2014-02-28 17:11:29.2600000
16620,00013800524775,0059800000017,CA,0         ,2014-02-28 17:11:29.3200000
16621,00013800589163,0059800000017,CA,0         ,2014-02-28 17:11:29.3800000
16622,00013800589187,0059800000017,CA,0         ,2014-02-28 17:11:29.4500000
16623,00013800589194,0059800000017,CA,0         ,2014-02-28 17:11:29.5170000
16624,00013800589217,0059800000017,CA,0         ,2014-02-28 17:11:29.5870000
16625,00013800589224,0059800000017,CA,0         ,2014-02-28 17:11:29.6500000
16626,00013800589255,0059800000017,CA,0         ,2014-02-28 17:11:29.7230000
16627,00013800684134,0059800000017,CA,0         ,2014-02-28 17:11:29.8100000
16628,00013800684509,0059800000017,CA,0         ,2014-02-28 17:11:29.8730000
16629,00013800855794,0059800000017,CA,0         ,2014-02-28 17:11:29.9670000
16630,00013800868916,0059800000017,CA,0         ,2014-02-28 17:11:30.0330000
16639,00013800958679,0059800000017,CA,0         ,2014-02-28 17:11:30.6770000
26855,00013933533019,0069618000017,CA,0         ,2014-02-28 17:54:29.8700000
26856,00013933533422,0069618000017,CA,0         ,2014-02-28 17:54:29.9330000
26857,00013933533620,0069618000017,CA,0         ,2014-02-28 17:54:29.9970000
26858,00013933533729,0069618000017,CA,0         ,2014-02-28 17:54:30.0730000
26865,00013933533927,0069618000017,CA,0         ,2014-02-28 17:54:30.6270000
26440,00014054026893,0067000000010,CA,0         ,2014-02-28 17:52:56.2770000
26441,00014054030890,0067000000010,CA,0         ,2014-02-28 17:52:56.3430000
26515,00014054064895,0067000000010,CA,0         ,2014-02-28 17:53:01.2700000
26516,00014054115894,0067000000010,CA,0         ,2014-02-28 17:53:01.3330000
23315,00014100074885,0063211000016,CA,0         ,2014-02-28 17:39:42.7500000
23316,00014100077947,0063211000016,CA,0         ,2014-02-28 17:39:42.8170000
23319,00014100079859,0063211000016,CA,0         ,2014-02-28 17:39:43.0200000
23320,00014100081333,0063211000016,CA,0         ,2014-02-28 17:39:43.0830000
23333,00014100083221,0063211000016,CA,0         ,2014-02-28 17:39:43.9030000
23334,00014100084068,0063211000016,CA,0         ,2014-02-28 17:39:43.9630000
23309,00014100084075,0063211000016,CA,0         ,2014-02-28 17:39:42.3200000
23310,00014100084082,0063211000016,CA,0         ,2014-02-28 17:39:42.3900000
23311,00014100170945,0063211000016,CA,0         ,2014-02-28 17:39:42.4900000
23312,00014100170952,0063211000016,CA,0         ,2014-02-28 17:39:42.5630000
23313,00014100170969,0063211000016,CA,0         ,2014-02-28 17:39:42.6370000
23314,00014100181675,0063211000016,CA,0         ,2014-02-28 17:39:42.6870000
23317,00014100186830,0063211000016,CA,0         ,2014-02-28 17:39:42.8900000
23318,00014100186854,0063211000016,CA,0         ,2014-02-28 17:39:42.9570000
23321,00014100196341,0063211000016,CA,0         ,2014-02-28 17:39:43.1470000
23322,00014100197355,0063211000016,CA,0         ,2014-02-28 17:39:43.2130000
23323,00014100197362,0063211000016,CA,0         ,2014-02-28 17:39:43.2700000
23324,00014100197393,0063211000016,CA,0         ,2014-02-28 17:39:43.3330000
